Dataset,SettlementDate,SettlementPeriod,Time,Rate1,Elbow2,Rate2,Elbow3,Rate3,NationalGridBmUnit,BmUnit
RURI,2026-02-16,45,2026-02-16T22:22:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-16,23,2026-02-16T11:27:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-16,10,2026-02-16T04:34:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-14,44,2026-02-14T21:59:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-02-14,44,2026-02-14T21:57:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-02-14,41,2026-02-14T20:29:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-24,33,2026-02-24T16:05:00Z,49.0,,,,,AG-HAB01J,V__JHABI009
RURI,2026-02-23,5,2026-02-23T02:15:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-02-23,5,2026-02-23T02:14:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-23,5,2026-02-23T02:13:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-23,5,2026-02-23T02:12:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-02-23,5,2026-02-23T02:02:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-02-23,4,2026-02-23T01:54:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-02-22,11,2026-02-22T05:17:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
