Dataset,StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
MID,2026-01-06T08:30:00Z,N2EXMIDP,2026-01-06,18,0.00,0.000
MID,2026-01-06T08:00:00Z,APXMIDP,2026-01-06,17,235.38,4833.500
MID,2026-01-06T08:00:00Z,N2EXMIDP,2026-01-06,17,0.00,0.000
MID,2026-01-06T07:30:00Z,APXMIDP,2026-01-06,16,215.56,5014.900
MID,2026-01-06T07:30:00Z,N2EXMIDP,2026-01-06,16,0.00,0.000
MID,2026-01-06T07:00:00Z,APXMIDP,2026-01-06,15,205.86,5603.900
MID,2026-01-06T07:00:00Z,N2EXMIDP,2026-01-06,15,0.00,0.000
MID,2026-01-06T06:30:00Z,APXMIDP,2026-01-06,14,195.02,3670.150
MID,2026-01-06T06:30:00Z,N2EXMIDP,2026-01-06,14,0.00,0.000
MID,2026-01-06T06:00:00Z,APXMIDP,2026-01-06,13,181.55,3873.750
MID,2026-01-06T06:00:00Z,N2EXMIDP,2026-01-06,13,0.00,0.000
MID,2026-01-06T05:30:00Z,APXMIDP,2026-01-06,12,165.03,4420.250
MID,2026-01-06T05:30:00Z,N2EXMIDP,2026-01-06,12,0.00,0.000
MID,2026-01-06T05:00:00Z,APXMIDP,2026-01-06,11,155.56,4155.850
MID,2026-01-06T05:00:00Z,N2EXMIDP,2026-01-06,11,0.00,0.000
MID,2026-01-06T04:30:00Z,APXMIDP,2026-01-06,10,134.25,4177.750
MID,2026-01-06T04:30:00Z,N2EXMIDP,2026-01-06,10,0.00,0.000
MID,2026-01-06T04:00:00Z,APXMIDP,2026-01-06,9,131.22,3802.950
MID,2026-01-06T04:00:00Z,N2EXMIDP,2026-01-06,9,0.00,0.000
MID,2026-01-06T03:30:00Z,APXMIDP,2026-01-06,8,123.39,3544.100
MID,2026-01-06T03:30:00Z,N2EXMIDP,2026-01-06,8,0.00,0.000
MID,2026-01-06T03:00:00Z,APXMIDP,2026-01-06,7,119.36,3267.700
MID,2026-01-06T03:00:00Z,N2EXMIDP,2026-01-06,7,0.00,0.000
MID,2026-01-06T02:30:00Z,APXMIDP,2026-01-06,6,113.82,3127.450
MID,2026-01-06T02:30:00Z,N2EXMIDP,2026-01-06,6,0.00,0.000
MID,2026-01-06T02:00:00Z,APXMIDP,2026-01-06,5,111.91,2743.600
MID,2026-01-06T02:00:00Z,N2EXMIDP,2026-01-06,5,0.00,0.000
MID,2026-01-06T01:30:00Z,APXMIDP,2026-01-06,4,110.34,2847.350
MID,2026-01-06T01:30:00Z,N2EXMIDP,2026-01-06,4,0.00,0.000
MID,2026-01-06T01:00:00Z,APXMIDP,2026-01-06,3,110.27,2565.050
MID,2026-01-06T01:00:00Z,N2EXMIDP,2026-01-06,3,0.00,0.000
MID,2026-01-06T00:30:00Z,APXMIDP,2026-01-06,2,104.87,2205.100
MID,2026-01-06T00:30:00Z,N2EXMIDP,2026-01-06,2,0.00,0.000
MID,2026-01-06T00:00:00Z,APXMIDP,2026-01-06,1,98.38,2267.350
MID,2026-01-06T00:00:00Z,N2EXMIDP,2026-01-06,1,0.00,0.000
MID,2026-01-05T23:30:00Z,APXMIDP,2026-01-05,48,100.56,2218.100
MID,2026-01-05T23:30:00Z,N2EXMIDP,2026-01-05,48,0.00,0.000
