PublishTime,StartTime,SettlementDate,SettlementPeriod,InitialDemandOutturn,InitialTransmissionSystemDemandOutturn
2026-05-30T05:30:00Z,2026-05-30T05:00:00Z,2026-05-30,13,18576,19485
2026-05-30T06:00:00Z,2026-05-30T05:30:00Z,2026-05-30,14,18733,19601
2026-05-30T06:30:00Z,2026-05-30T06:00:00Z,2026-05-30,15,18782,19579
2026-05-30T07:00:00Z,2026-05-30T06:30:00Z,2026-05-30,16,18616,19479
2026-05-30T07:30:00Z,2026-05-30T07:00:00Z,2026-05-30,17,18523,19289
2026-05-30T08:00:00Z,2026-05-30T07:30:00Z,2026-05-30,18,18511,19293
2026-05-30T08:30:00Z,2026-05-30T08:00:00Z,2026-05-30,19,18028,18923
2026-05-30T09:00:00Z,2026-05-30T08:30:00Z,2026-05-30,20,16914,17866
2026-05-30T09:30:00Z,2026-05-30T09:00:00Z,2026-05-30,21,16265,17044
2026-05-30T10:00:00Z,2026-05-30T09:30:00Z,2026-05-30,22,15755,16444
2026-05-30T10:30:00Z,2026-05-30T10:00:00Z,2026-05-30,23,15361,16186
2026-05-30T11:00:00Z,2026-05-30T10:30:00Z,2026-05-30,24,14920,15897
2026-05-30T11:30:00Z,2026-05-30T11:00:00Z,2026-05-30,25,14715,15771
2026-05-30T12:00:00Z,2026-05-30T11:30:00Z,2026-05-30,26,14394,15800
2026-05-30T12:30:00Z,2026-05-30T12:00:00Z,2026-05-30,27,14350,15954
2026-05-30T13:00:00Z,2026-05-30T12:30:00Z,2026-05-30,28,14312,15851
2026-05-30T13:30:00Z,2026-05-30T13:00:00Z,2026-05-30,29,14246,16005
2026-05-30T14:00:00Z,2026-05-30T13:30:00Z,2026-05-30,30,14594,15889
2026-05-30T14:30:00Z,2026-05-30T14:00:00Z,2026-05-30,31,15104,16577
2026-05-30T15:00:00Z,2026-05-30T14:30:00Z,2026-05-30,32,15859,17121
2026-05-30T15:30:00Z,2026-05-30T15:00:00Z,2026-05-30,33,17612,18432
2026-05-30T16:00:00Z,2026-05-30T15:30:00Z,2026-05-30,34,19119,20013
2026-05-30T16:30:00Z,2026-05-30T16:00:00Z,2026-05-30,35,21572,22360
2026-05-30T17:00:00Z,2026-05-30T16:30:00Z,2026-05-30,36,23208,24059
2026-05-30T17:30:00Z,2026-05-30T17:00:00Z,2026-05-30,37,23705,24497
2026-05-30T18:00:00Z,2026-05-30T17:30:00Z,2026-05-30,38,24706,25480
2026-05-30T18:30:00Z,2026-05-30T18:00:00Z,2026-05-30,39,24755,26118
2026-05-30T19:00:00Z,2026-05-30T18:30:00Z,2026-05-30,40,24576,26071
2026-05-30T19:30:00Z,2026-05-30T19:00:00Z,2026-05-30,41,25011,27045
2026-05-30T20:00:00Z,2026-05-30T19:30:00Z,2026-05-30,42,24900,26968
