Year,CalendarWeekNumber,Dataset,PublishTime,FuelType,NgcBmUnit,BmUnit,OutputUsable
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,897
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,4938
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2732
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1636
2026,31,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,8437
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,7785
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1636
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2745
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1212
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5430
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,875
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1046
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,21144
2026,32,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3585
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3397
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,21899
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1046
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,935
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5480
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1212
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2745
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1396
2026,33,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,10306
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,8949
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1246
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2915
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5065
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1040
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1046
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,22347
2026,34,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,2885
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,6821
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1426
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2915
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,4425
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,980
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,0
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1046
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,23139
2026,35,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3530
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3530
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,23131
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
